"study_id","n_positive","n_tested","ageband","age_low","age_high","age_mid","cumdeaths","popn","seroprev","seroprevadj","infxns","crudeIFR"
"DNK1",357,18449,"0-59",NA,NA,29.5,4,3933863,1.90217524125,0.0166320181078727,74828.9680106945,5.34552340669502e-05
"DNK1",55,2191,"59-69",NA,NA,64,31,732909,2.510269283,0.0240439114040902,18397.9894993425,0.00168496671884218
"DNK1",55,2191,"69-79",NA,NA,74,98,643829,2.510269283,0.0240439114040902,16161.8416220461,0.00606366540965975
"DNK1",55,2191,"79-89",NA,NA,84,133,387799,2.510269283,0.0240439114040902,9734.79917678117,0.0136623260105071
"DNK1",55,2191,"89-999",NA,NA,94.5,73,124363,2.510269283,0.0240439114040902,3121.84618841729,0.0233835991891098
"CHE1",0,37,"0-10",NA,NA,5,0,52656,0,NA,0,NA
"CHE1",13,88,"10-20",NA,NA,15,0,52855,14.77272727,0.158094098855773,7808.1249985585,0
"CHE1",34,298,"20-30",NA,NA,25,0,65002,11.40939597,0.122100553364229,7416.3355684194,0
"CHE1",34,298,"30-40",NA,NA,35,0,75398,11.40939597,0.122100553364229,8602.4563734606,0
"CHE1",34,298,"40-50",NA,NA,45,0,75234,11.40939597,0.122100553364229,8583.7449640698,0
"CHE1",27,235,"50-60",NA,NA,55,0,70894,11.4893617,0.122956326965991,8145.268083598,0
"CHE1",27,235,"60-70",NA,NA,65,6,45875,11.4893617,0.122956326965991,5270.744679875,0.00113835906772519
"CHE1",8,109,"70-80",NA,NA,75,39,36384,7.339449541,0.078544986316654,2670.38532099744,0.0146046339055791
"CHE1",8,109,"80-999",NA,NA,90,171,25182,7.339449541,0.078544986316654,1848.22018341462,0.092521443892077
"BRA1",6,430,"0-4",NA,NA,2,69,14730311,1.3953488372093,0.00471776655381036,205539.223255814,0.000335702348714837
"BRA1",8,682,"4-9",NA,NA,6.5,39,14650311,1.17302052785924,0.00206468410333217,171851.15542522,0.000226940574845135
"BRA1",32,2287,"9-19",NA,NA,14,81,30596341,1.39921294271972,0.00476387759808732,428107.96327066,0.00018920460946621
"BRA1",54,3866,"19-29",NA,NA,24,298,34219132,1.39679255043973,0.00473499463531909,477970.286601138,0.000623469718419292
"BRA1",58,3834,"29-39",NA,NA,34,994,34231961,1.51278038601982,0.00611909768520082,517854.391757955,0.00191945847292263
"BRA1",64,3975,"39-49",NA,NA,44,2205,29255478,1.61006289308176,0.00727998679095184,471031.595471698,0.00468121463867382
"BRA1",68,4015,"49-59",NA,NA,54,4009,23875081,1.69364881693649,0.00827743218301311,404360.026899128,0.00991443202421214
"BRA1",34,3381,"59-69",NA,NA,64,6583,16732972,1.00561963916001,6.70601331744028e-05,168270.052647146,0.0391216374894957
"BRA1",22,1797,"69-79",NA,NA,74,7132,9023052,1.22426265998887,0.00267616539366196,110465.856427379,0.0645629358306621
"BRA1",4,728,"79-999",NA,NA,89.5,7921,4441053,0.549450549450549,NA,24401.3901098901,0.324612653800799
"NYC_NY_1",NA,NA,"0-18",0,18,9,2,1471953,20.6164098292378,0.232078089973262,303463.862973761,6.59057055558846e-06
"NYC_NY_1",NA,NA,"18-45",18,45,31.5,651,3624654,20.6164098292378,0.232078089973262,747273.523531862,0.000871166954936606
"NYC_NY_1",NA,NA,"45-65",45,65,55,3689,2056048,25.1506024096386,0.284387958511579,517108.457831325,0.00713389994716216
"NYC_NY_1",NA,NA,"65-75",65,75,70,4125,699118,22.1019395579612,0.24921628237276,154518.637798827,0.0266958087306624
"NYC_NY_1",NA,NA,"75-999",75,999,87.5,8043,546975,22.1019395579612,0.24921628237276,120892.083897158,0.0665304107657049
"ITA1",NA,NA,"0-9",NA,NA,4.5,0,4392543,2.2,NA,96635.946,0
"ITA1",NA,NA,"9-19",NA,NA,14,0,5730533,2.2,NA,126071.726,0
"ITA1",NA,NA,"19-29",NA,NA,24,0,6097350,2.1,NA,128044.35,0
"ITA1",NA,NA,"29-39",NA,NA,34,57,6854819,2.25,NA,154233.4275,0.000369569690072536
"ITA1",NA,NA,"39-49",NA,NA,44,296,8833301,2.4,NA,211999.224,0.0013962315258286
"ITA1",NA,NA,"49-59",NA,NA,54,1208,9606691,3.1,0.00685714285714286,297807.421,0.00405631261955692
"ITA1",NA,NA,"59-69",NA,NA,64,3506,7580854,2.6,0.00114285714285702,197102.204,0.0177877260063515
