region,city,age_low,age_high,population,totpop,site
Northeast,Natal,0,9,108712,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,10,19,137235,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,20,29,160538,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,30,39,126233,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,40,49,111251,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,50,59,75831,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,60,69,45955,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,70,79,24159,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Northeast,Natal,80,89,13825,803739,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/rio_grande_do_norte/2408102__natal/
Southeast,Campinas,0,9,129655,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,10,19,160271,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,20,29,200879,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,30,39,180732,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,40,49,152816,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,50,59,121959,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,60,69,73022,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,70,79,41292,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Southeast,Campinas,80,89,19487,1080113,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3509502__campinas/
Northeast,Crateús,0,9,11235,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,10,19,13956,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,20,29,11607,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,30,39,10270,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,40,49,9103,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,50,59,6580,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,60,69,4988,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,70,79,3150,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Crateus,80,89,1923,72812,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304103__crate%C3%BAs/
Northeast,Bacabal,0,9,19255,100014,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/maranh%C3%A3o/2101202__bacabal/
Northeast,Bacabal,10,19,20124,100014,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/maranh%C3%A3o/2101202__bacabal/
Northeast,Bacabal,20,29,18775,100014,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/maranh%C3%A3o/2101202__bacabal/
Northeast,Bacabal,30,39,13899,100014,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/maranh%C3%A3o/2101202__bacabal/
Northeast,Bacabal,40,49,10448,100014,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/maranh%C3%A3o/2101202__bacabal/
Northeast,Bacabal,50,59,7709,100014,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/maranh%C3%A3o/2101202__bacabal/
