country,study_id,age_low,age_high,region,gender,n_deaths,date_start_survey,date_end_survey,matching_with_sero,cumulative,age_breakdown,gender_breakdown,for_regional_analysis,time_series,ref,notes
Switzerland,CHE1,0,999,Geneva,both,3,13/04/2020,13/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,14/04/2020,14/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,6,15/04/2020,15/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,7,16/04/2020,16/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,6,17/04/2020,17/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,4,18/04/2020,18/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,19/04/2020,19/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,20/04/2020,20/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,21/04/2020,21/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,9,22/04/2020,22/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,23/04/2020,23/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,24/04/2020,24/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,25/04/2020,25/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,26/04/2020,26/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,27/04/2020,27/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,28/04/2020,28/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,29/04/2020,29/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,30/04/2020,30/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,01/05/2020,01/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,02/05/2020,02/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,03/05/2020,03/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,04/05/2020,04/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,05/05/2020,05/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
