Region,State,Age_Group,Sex,Population
North,AP,75-80,M,3103
North,AP,80-85,M,1734
North,AP,85-90,M,862
North,AP,90+,M,544
North,AP,0-5,F,39140
North,AP,5-10,F,39365
North,AP,10-15,F,39770
North,AP,15-20,F,41765
North,AP,20-25,F,42298
North,AP,25-30,F,40042
North,AP,30-35,F,37350
North,AP,35-40,F,34528
North,AP,40-45,F,29230
North,AP,45-50,F,23892
North,AP,50-55,F,18363
North,AP,55-60,F,13916
North,AP,60-65,F,10701
North,AP,65-70,F,7515
North,AP,70-75,F,4705
North,AP,75-80,F,3495
North,AP,80-85,F,2143
North,AP,85-90,F,1175
North,AP,90+,F,886
North,TO,0-5,M,64155
North,TO,5-10,M,64187
North,TO,10-15,M,67383
North,TO,15-20,M,69580
North,TO,20-25,M,73140
North,TO,25-30,M,69129
North,TO,30-35,M,65336
North,TO,35-40,M,62308
North,TO,40-45,M,56795
North,TO,45-50,M,47826
North,TO,50-55,M,41306
North,TO,55-60,M,34073
North,TO,60-65,M,26889
North,TO,65-70,M,21052
North,TO,70-75,M,15239
North,TO,75-80,M,10412
North,TO,80-85,M,6698
North,TO,85-90,M,3337
North,TO,90+,M,1644
North,TO,0-5,F,61281
North,TO,5-10,F,61432
North,TO,10-15,F,64644
North,TO,15-20,F,67414
North,TO,20-25,F,70911
North,TO,25-30,F,68544
North,TO,30-35,F,65986
North,TO,35-40,F,63699
North,TO,40-45,F,58192
North,TO,45-50,F,46808
North,TO,50-55,F,41239
North,TO,55-60,F,33648
North,TO,60-65,F,26944
North,TO,65-70,F,21025
North,TO,70-75,F,15344
North,TO,75-80,F,10379
North,TO,80-85,F,6900
North,TO,85-90,F,3535
North,TO,90+,F,1834
Northeast,MA,0-5,M,300256
Northeast,MA,5-10,M,300367
Northeast,MA,10-15,M,334635
Northeast,MA,15-20,M,338987
Northeast,MA,20-25,M,340010
Northeast,MA,25-30,M,296825
Northeast,MA,30-35,M,283326
Northeast,MA,35-40,M,265498
Northeast,MA,40-45,M,227704
Northeast,MA,45-50,M,183499
Northeast,MA,50-55,M,158430
Northeast,MA,55-60,M,130761
Northeast,MA,60-65,M,104514
Northeast,MA,65-70,M,82423
Northeast,MA,70-75,M,60639
Northeast,MA,75-80,M,41663
Northeast,MA,80-85,M,25747
Northeast,MA,85-90,M,13188
Northeast,MA,90+,M,7956
Northeast,MA,0-5,F,287147
Northeast,MA,5-10,F,287542
Northeast,MA,10-15,F,320331
Northeast,MA,15-20,F,326732
Northeast,MA,20-25,F,334001
Northeast,MA,25-30,F,306421
Northeast,MA,30-35,F,303269
Northeast,MA,35-40,F,286891
Northeast,MA,40-45,F,245603
Northeast,MA,45-50,F,197005
Northeast,MA,50-55,F,172138
Northeast,MA,55-60,F,145474
Northeast,MA,60-65,F,119449
Northeast,MA,65-70,F,96934
Northeast,MA,70-75,F,71062
Northeast,MA,75-80,F,50883
Northeast,MA,80-85,F,34580
Northeast,MA,85-90,F,18777
Northeast,MA,90+,F,13931
Northeast,PI,0-5,M,121499
Northeast,PI,5-10,M,120959
Northeast,PI,10-15,M,130911
Northeast,PI,15-20,M,145234
Northeast,PI,20-25,M,146827
Northeast,PI,25-30,M,129267
Northeast,PI,30-35,M,126204
Northeast,PI,35-40,M,120875
Northeast,PI,40-45,M,111510
Northeast,PI,45-50,M,93629
Northeast,PI,50-55,M,84794
Northeast,PI,55-60,M,72879
Northeast,PI,60-65,M,58113
Northeast,PI,65-70,M,45604
Northeast,PI,70-75,M,34580
Northeast,PI,75-80,M,22844
Northeast,PI,80-85,M,13619
Northeast,PI,85-90,M,6177
Northeast,PI,90+,M,3132
Northeast,PI,0-5,F,115986
Northeast,PI,5-10,F,115940
Northeast,PI,10-15,F,126060
Northeast,PI,15-20,F,140964
Northeast,PI,20-25,F,143607
Northeast,PI,25-30,F,134293
Northeast,PI,30-35,F,137953
Northeast,PI,35-40,F,132853
Northeast,PI,40-45,F,123428
Northeast,PI,45-50,F,103426
Northeast,PI,50-55,F,95084
Northeast,PI,55-60,F,84487
Northeast,PI,60-65,F,70576
Northeast,PI,65-70,F,57629
Northeast,PI,70-75,F,43211
Northeast,PI,75-80,F,29734
Northeast,PI,80-85,F,20624
Northeast,PI,85-90,F,10404
Northeast,PI,90+,F,5781
Northeast,CE,0-5,M,336102
Northeast,CE,5-10,M,328916
Northeast,CE,10-15,M,346029
Northeast,CE,15-20,M,366157
Northeast,CE,20-25,M,415584
Northeast,CE,25-30,M,396263
Northeast,CE,30-35,M,380147
Northeast,CE,35-40,M,347668
Northeast,CE,40-45,M,307151
Northeast,CE,45-50,M,264473
Northeast,CE,50-55,M,243054
Northeast,CE,55-60,M,210653
Northeast,CE,60-65,M,155310
Northeast,CE,65-70,M,122283
Northeast,CE,70-75,M,97426
Northeast,CE,75-80,M,65254
Northeast,CE,80-85,M,42603
Northeast,CE,85-90,M,19717
Northeast,CE,90+,M,11872
Northeast,CE,0-5,F,320761
Northeast,CE,5-10,F,314427
Northeast,CE,10-15,F,331805
Northeast,CE,15-20,F,354661
Northeast,CE,20-25,F,408930
Northeast,CE,25-30,F,407259
Northeast,CE,30-35,F,404712
Northeast,CE,35-40,F,373083
Northeast,CE,40-45,F,335363
Northeast,CE,45-50,F,294939
Northeast,CE,50-55,F,275345
Northeast,CE,55-60,F,241247
Northeast,CE,60-65,F,189020
Northeast,CE,65-70,F,153800
Northeast,CE,70-75,F,123445
Northeast,CE,75-80,F,86108
Northeast,CE,80-85,F,62689
Northeast,CE,85-90,F,32344
Northeast,CE,90+,F,21286
Northeast,RN,0-5,M,121475
Northeast,RN,5-10,M,124872
Northeast,RN,10-15,M,131422
Northeast,RN,15-20,M,138169
Northeast,RN,20-25,M,150154
Northeast,RN,25-30,M,147978
Northeast,RN,30-35,M,153054
Northeast,RN,35-40,M,141893
Northeast,RN,40-45,M,122788
Northeast,RN,45-50,M,106349
Northeast,RN,50-55,M,100278
Northeast,RN,55-60,M,86105
Northeast,RN,60-65,M,62395
Northeast,RN,65-70,M,45360
Northeast,RN,70-75,M,37870
Northeast,RN,75-80,M,24427
Northeast,RN,80-85,M,15933
Northeast,RN,85-90,M,7222
Northeast,RN,90+,M,4973
Northeast,RN,0-5,F,116245
Northeast,RN,5-10,F,119789
Northeast,RN,10-15,F,126557
Northeast,RN,15-20,F,134041
Northeast,RN,20-25,F,145925
Northeast,RN,25-30,F,148155
Northeast,RN,30-35,F,155143
Northeast,RN,35-40,F,146558
Northeast,RN,40-45,F,130433
Northeast,RN,45-50,F,116014
Northeast,RN,50-55,F,111032
Northeast,RN,55-60,F,97879
Northeast,RN,60-65,F,74543
Northeast,RN,65-70,F,57934
Northeast,RN,70-75,F,50134
Northeast,RN,75-80,F,34284
Northeast,RN,80-85,F,24483
Northeast,RN,85-90,F,12747
Northeast,RN,90+,F,9552
Northeast,PB,0-5,M,146460
Northeast,PB,5-10,M,139685
Northeast,PB,10-15,M,154986
Northeast,PB,15-20,M,166359
Northeast,PB,20-25,M,168356
Northeast,PB,25-30,M,160705
Northeast,PB,30-35,M,156170
Northeast,PB,35-40,M,151819
Northeast,PB,40-45,M,139514
Northeast,PB,45-50,M,120706
Northeast,PB,50-55,M,110018
Northeast,PB,55-60,M,94020
Northeast,PB,60-65,M,71378
Northeast,PB,65-70,M,56652
Northeast,PB,70-75,M,45689
Northeast,PB,75-80,M,30687
Northeast,PB,80-85,M,20366
Northeast,PB,85-90,M,9478
Northeast,PB,90+,M,5895
Northeast,PB,0-5,F,139380
Northeast,PB,5-10,F,132666
Northeast,PB,10-15,F,147751
Northeast,PB,15-20,F,161720
Northeast,PB,20-25,F,167646
Northeast,PB,25-30,F,166263
Northeast,PB,30-35,F,167948
Northeast,PB,35-40,F,164907
Northeast,PB,40-45,F,153208
Northeast,PB,45-50,F,134310
Northeast,PB,50-55,F,125138
Northeast,PB,55-60,F,108673
Northeast,PB,60-65,F,87224
Northeast,PB,65-70,F,72845
Northeast,PB,70-75,F,60711
Northeast,PB,75-80,F,43332
Northeast,PB,80-85,F,31327
Northeast,PB,85-90,F,15365
Northeast,PB,90+,F,9920
Northeast,PE,0-5,M,350396
Northeast,PE,5-10,M,361571
Northeast,PE,10-15,M,373149
Northeast,PE,15-20,M,393865
Northeast,PE,20-25,M,410796
Northeast,PE,25-30,M,379917
Northeast,PE,30-35,M,374759
Northeast,PE,35-40,M,359621
Northeast,PE,40-45,M,330663
Northeast,PE,45-50,M,287981
Northeast,PE,50-55,M,254677
Northeast,PE,55-60,M,214333
Northeast,PE,60-65,M,168901
Northeast,PE,65-70,M,127512
Northeast,PE,70-75,M,97692
Northeast,PE,75-80,M,62887
Northeast,PE,80-85,M,39304
Northeast,PE,85-90,M,18011
Northeast,PE,90+,M,10229
Northeast,PE,0-5,F,334388
Northeast,PE,5-10,F,345444
Northeast,PE,10-15,F,358097
Northeast,PE,15-20,F,382499
Northeast,PE,20-25,F,407176
Northeast,PE,25-30,F,393940
Northeast,PE,30-35,F,403316
Northeast,PE,35-40,F,394441
Northeast,PE,40-45,F,368470
Northeast,PE,45-50,F,328946
Northeast,PE,50-55,F,298539
Northeast,PE,55-60,F,257387
Northeast,PE,60-65,F,210936
Northeast,PE,65-70,F,170522
Northeast,PE,70-75,F,134528
Northeast,PE,75-80,F,94017
Northeast,PE,80-85,F,64617
Northeast,PE,85-90,F,32782
Northeast,PE,90+,F,20763
Northeast,AL,0-5,M,128876
Northeast,AL,5-10,M,133441
Northeast,AL,10-15,M,143186
Northeast,AL,15-20,M,154125
Northeast,AL,20-25,M,156875
Northeast,AL,25-30,M,134103
Northeast,AL,30-35,M,120867
Northeast,AL,35-40,M,118152
Northeast,AL,40-45,M,108641
Northeast,AL,45-50,M,92067
Northeast,AL,50-55,M,82912
Northeast,AL,55-60,M,68199
Northeast,AL,60-65,M,53570
Northeast,AL,65-70,M,41672
Northeast,AL,70-75,M,30700
Northeast,AL,75-80,M,19703
Northeast,AL,80-85,M,11109
Northeast,AL,85-90,M,5097
Northeast,AL,90+,M,2974
Northeast,AL,0-5,F,122984
Northeast,AL,5-10,F,127623
Northeast,AL,10-15,F,137384
Northeast,AL,15-20,F,151025
Northeast,AL,20-25,F,158250
Northeast,AL,25-30,F,143540
Northeast,AL,30-35,F,138393
Northeast,AL,35-40,F,135256
Northeast,AL,40-45,F,125241
Northeast,AL,45-50,F,108300
Northeast,AL,50-55,F,97992
Northeast,AL,55-60,F,80606
Northeast,AL,60-65,F,65840
Northeast,AL,65-70,F,53375
Northeast,AL,70-75,F,39242
Northeast,AL,75-80,F,27297
Northeast,AL,80-85,F,17522
Northeast,AL,85-90,F,9185
Northeast,AL,90+,F,5768
Northeast,SE,0-5,M,86781
Northeast,SE,5-10,M,87468
Northeast,SE,10-15,M,91311
Northeast,SE,15-20,M,94412
Northeast,SE,20-25,M,104733
Northeast,SE,25-30,M,97562
Northeast,SE,30-35,M,95154
Northeast,SE,35-40,M,89406
Northeast,SE,40-45,M,79545
Northeast,SE,45-50,M,68304
Northeast,SE,50-55,M,61540
Northeast,SE,55-60,M,49860
Northeast,SE,60-65,M,38059
Northeast,SE,65-70,M,28710
Northeast,SE,70-75,M,20912
Northeast,SE,75-80,M,12931
Northeast,SE,80-85,M,7422
Northeast,SE,85-90,M,3436
Northeast,SE,90+,M,1696
Northeast,SE,0-5,F,82861
Northeast,SE,5-10,F,83727
Northeast,SE,10-15,F,88006
Northeast,SE,15-20,F,92615
Northeast,SE,20-25,F,104265
Northeast,SE,25-30,F,101914
Northeast,SE,30-35,F,102656
Northeast,SE,35-40,F,98557
Northeast,SE,40-45,F,89285
Northeast,SE,45-50,F,77865
Northeast,SE,50-55,F,70243
Northeast,SE,55-60,F,58353
Northeast,SE,60-65,F,45631
Northeast,SE,65-70,F,36093
Northeast,SE,70-75,F,26802
Northeast,SE,75-80,F,18472
Northeast,SE,80-85,F,12154
Northeast,SE,85-90,F,6515
Northeast,SE,90+,F,3776
Northeast,BA,0-5,M,525049
Northeast,BA,5-10,M,527807
Northeast,BA,10-15,M,567728
Northeast,BA,15-20,M,611864
Northeast,BA,20-25,M,636955
Northeast,BA,25-30,M,590611
Northeast,BA,30-35,M,576255
Northeast,BA,35-40,M,597384
Northeast,BA,40-45,M,543072
Northeast,BA,45-50,M,452343
Northeast,BA,50-55,M,409583
Northeast,BA,55-60,M,344206
Northeast,BA,60-65,M,279730
Northeast,BA,65-70,M,211055
Northeast,BA,70-75,M,159224
Northeast,BA,75-80,M,106075
Northeast,BA,80-85,M,64501
Northeast,BA,85-90,M,31207
Northeast,BA,90+,M,19452
Northeast,BA,0-5,F,500827
Northeast,BA,5-10,F,504213
Northeast,BA,10-15,F,543619
Northeast,BA,15-20,F,591570
Northeast,BA,20-25,F,626927
Northeast,BA,25-30,F,612117
Northeast,BA,30-35,F,621087
Northeast,BA,35-40,F,648817
Northeast,BA,40-45,F,588270
Northeast,BA,45-50,F,493955
Northeast,BA,50-55,F,449735
Northeast,BA,55-60,F,384663
Northeast,BA,60-65,F,323485
Northeast,BA,65-70,F,254728
Northeast,BA,70-75,F,197800
Northeast,BA,75-80,F,143342
Northeast,BA,80-85,F,97823
Northeast,BA,85-90,F,54632
Northeast,BA,90+,F,38713
Southeast,MG,0-5,M,679420
Southeast,MG,5-10,M,676873
Southeast,MG,10-15,M,686353
Southeast,MG,15-20,M,764221
Southeast,MG,20-25,M,858308
Southeast,MG,25-30,M,857931
Southeast,MG,30-35,M,861459
Southeast,MG,35-40,M,841601
Southeast,MG,40-45,M,779931
Southeast,MG,45-50,M,678891
Southeast,MG,50-55,M,645987
Southeast,MG,55-60,M,590664
Southeast,MG,60-65,M,500888
Southeast,MG,65-70,M,386141
Southeast,MG,70-75,M,276777
Southeast,MG,75-80,M,183164
Southeast,MG,80-85,M,117567
Southeast,MG,85-90,M,61562
Southeast,MG,90+,M,35393
Southeast,MG,0-5,F,647939
Southeast,MG,5-10,F,646371
Southeast,MG,10-15,F,656087
Southeast,MG,15-20,F,732187
Southeast,MG,20-25,F,832670
Southeast,MG,25-30,F,845711
Southeast,MG,30-35,F,852856
Southeast,MG,35-40,F,851467
Southeast,MG,40-45,F,805831
Southeast,MG,45-50,F,718962
Southeast,MG,50-55,F,691147
Southeast,MG,55-60,F,646888
Southeast,MG,60-65,F,557845
Southeast,MG,65-70,F,444340
Southeast,MG,70-75,F,330095
Southeast,MG,75-80,F,232097
Southeast,MG,80-85,F,160456
Southeast,MG,85-90,F,90886
Southeast,MG,90+,F,65700
Southeast,ES,0-5,M,146941
Southeast,ES,5-10,M,144907
Southeast,ES,10-15,M,139557
Southeast,ES,15-20,M,148198
Southeast,ES,20-25,M,158645
Southeast,ES,25-30,M,158591
Southeast,ES,30-35,M,169789
Southeast,ES,35-40,M,165950
Southeast,ES,40-45,M,150017
Southeast,ES,45-50,M,126424
Southeast,ES,50-55,M,117905
Southeast,ES,55-60,M,106418
Southeast,ES,60-65,M,89901
Southeast,ES,65-70,M,68834
Southeast,ES,70-75,M,45094
Southeast,ES,75-80,M,28773
Southeast,ES,80-85,M,18394
Southeast,ES,85-90,M,9993
Southeast,ES,90+,M,6283
Southeast,ES,0-5,F,140509
Southeast,ES,5-10,F,138812
Southeast,ES,10-15,F,133867
Southeast,ES,15-20,F,143330
Southeast,ES,20-25,F,155809
Southeast,ES,25-30,F,157794
Southeast,ES,30-35,F,168318
Southeast,ES,35-40,F,167709
Southeast,ES,40-45,F,155595
Southeast,ES,45-50,F,134337
Southeast,ES,50-55,F,125801
Southeast,ES,55-60,F,116037
Southeast,ES,60-65,F,100133
Southeast,ES,65-70,F,78423
Southeast,ES,70-75,F,54647
Southeast,ES,75-80,F,38129
Southeast,ES,80-85,F,26663
Southeast,ES,85-90,F,15668
Southeast,ES,90+,F,11857
Southeast,RJ,0-5,M,575123
Southeast,RJ,5-10,M,563335
Southeast,RJ,10-15,M,539267
Southeast,RJ,15-20,M,580133
Southeast,RJ,20-25,M,671202
Southeast,RJ,25-30,M,651764
Southeast,RJ,30-35,M,653001
Southeast,RJ,35-40,M,659063
Southeast,RJ,40-45,M,624327
Southeast,RJ,45-50,M,549745
Southeast,RJ,50-55,M,517428
Southeast,RJ,55-60,M,477135
Southeast,RJ,60-65,M,409952
Southeast,RJ,65-70,M,314834
Southeast,RJ,70-75,M,223951
Southeast,RJ,75-80,M,139849
Southeast,RJ,80-85,M,87226
Southeast,RJ,85-90,M,44267
Southeast,RJ,90+,M,24669
Southeast,RJ,0-5,F,548521
Southeast,RJ,5-10,F,537734
Southeast,RJ,10-15,F,515868
Southeast,RJ,15-20,F,558014
Southeast,RJ,20-25,F,659464
Southeast,RJ,25-30,F,656296
Southeast,RJ,30-35,F,674666
Southeast,RJ,35-40,F,705901
Southeast,RJ,40-45,F,684994
Southeast,RJ,45-50,F,617789
Southeast,RJ,50-55,F,587438
Southeast,RJ,55-60,F,564885
Southeast,RJ,60-65,F,506991
Southeast,RJ,65-70,F,413660
Southeast,RJ,70-75,F,312473
Southeast,RJ,75-80,F,211929
Southeast,RJ,80-85,F,148646
Southeast,RJ,85-90,F,87719
Southeast,RJ,90+,F,66930
Southeast,SP,0-5,M,1554575
Southeast,SP,5-10,M,1555741
Southeast,SP,10-15,M,1511593
Southeast,SP,15-20,M,1595401
Southeast,SP,20-25,M,1746584
Southeast,SP,25-30,M,1772220
Southeast,SP,30-35,M,1921154
Southeast,SP,35-40,M,1907817
Southeast,SP,40-45,M,1726673
Southeast,SP,45-50,M,1513550
Southeast,SP,50-55,M,1387535
Southeast,SP,55-60,M,1225083
Southeast,SP,60-65,M,1038561
Southeast,SP,65-70,M,801226
Southeast,SP,70-75,M,564841
Southeast,SP,75-80,M,355243
Southeast,SP,80-85,M,220733
Southeast,SP,85-90,M,111936
Southeast,SP,90+,M,61861
Southeast,SP,0-5,F,1483786
Southeast,SP,5-10,F,1486357
Southeast,SP,10-15,F,1446086
Southeast,SP,15-20,F,1531720
Southeast,SP,20-25,F,1701929
Southeast,SP,25-30,F,1738870
Southeast,SP,30-35,F,1888809
Southeast,SP,35-40,F,1946363
Southeast,SP,40-45,F,1822081
Southeast,SP,45-50,F,1628117
Southeast,SP,50-55,F,1517168
Southeast,SP,55-60,F,1407141
Southeast,SP,60-65,F,1228204
Southeast,SP,65-70,F,979409
Southeast,SP,70-75,F,732830
Southeast,SP,75-80,F,495222
Southeast,SP,80-85,F,341634
Southeast,SP,85-90,F,197189
Southeast,SP,90+,F,144091
South,PR,0-5,M,403809
South,PR,5-10,M,394113
South,PR,10-15,M,384693
South,PR,15-20,M,411845
South,PR,20-25,M,460581
South,PR,25-30,M,461982
South,PR,30-35,M,442561
South,PR,35-40,M,428870
South,PR,40-45,M,403250
South,PR,45-50,M,374301
South,PR,50-55,M,357337
South,PR,55-60,M,316600
South,PR,60-65,M,258062
South,PR,65-70,M,201706
South,PR,70-75,M,145193
South,PR,75-80,M,94486
South,PR,80-85,M,57959
South,PR,85-90,M,28721
South,PR,90+,M,15229
South,PR,0-5,F,384972
South,PR,5-10,F,375728
South,PR,10-15,F,367729
South,PR,15-20,F,396227
South,PR,20-25,F,448731
South,PR,25-30,F,459489
South,PR,30-35,F,448377
South,PR,35-40,F,443789
South,PR,40-45,F,426104
South,PR,45-50,F,400442
South,PR,50-55,F,388798
South,PR,55-60,F,354699
South,PR,60-65,F,296643
South,PR,65-70,F,237497
South,PR,70-75,F,176239
South,PR,75-80,F,121357
South,PR,80-85,F,79106
South,PR,85-90,F,43777
South,PR,90+,F,25838
South,SC,0-5,M,248937
South,SC,5-10,M,237316
South,SC,10-15,M,227603
South,SC,15-20,M,240036
South,SC,20-25,M,284044
South,SC,25-30,M,302668
South,SC,30-35,M,312898
South,SC,35-40,M,303540
South,SC,40-45,M,266167
South,SC,45-50,M,239380
South,SC,50-55,M,229980
South,SC,55-60,M,210889
South,SC,60-65,M,168893
South,SC,65-70,M,128792
South,SC,70-75,M,88467
South,SC,75-80,M,53602
South,SC,80-85,M,31584
South,SC,85-90,M,15101
South,SC,90+,M,8218
South,SC,0-5,F,237651
South,SC,5-10,F,227142
South,SC,10-15,F,218251
South,SC,15-20,F,230601
South,SC,20-25,F,273363
South,SC,25-30,F,292575
South,SC,30-35,F,301175
South,SC,35-40,F,297353
South,SC,40-45,F,266593
South,SC,45-50,F,244853
South,SC,50-55,F,238948
South,SC,55-60,F,225919
South,SC,60-65,F,184738
South,SC,65-70,F,146058
South,SC,70-75,F,106080
South,SC,75-80,F,70570
South,SC,80-85,F,47287
South,SC,85-90,F,26376
South,SC,90+,F,18854
South,RS,0-5,M,362450
South,RS,5-10,M,355842
South,RS,10-15,M,344200
South,RS,15-20,M,391373
South,RS,20-25,M,435267
South,RS,25-30,M,434270
South,RS,30-35,M,426057
South,RS,35-40,M,432849
South,RS,40-45,M,387020
South,RS,45-50,M,353216
South,RS,50-55,M,351806
South,RS,55-60,M,348258
South,RS,60-65,M,300806
South,RS,65-70,M,238699
South,RS,70-75,M,172449
South,RS,75-80,M,109082
South,RS,80-85,M,65369
South,RS,85-90,M,32438
South,RS,90+,M,17019
South,RS,0-5,F,345608
South,RS,5-10,F,339418
South,RS,10-15,F,328332
South,RS,15-20,F,373858
South,RS,20-25,F,422176
South,RS,25-30,F,429436
South,RS,30-35,F,425981
South,RS,35-40,F,442017
South,RS,40-45,F,404906
South,RS,45-50,F,374148
South,RS,50-55,F,383384
South,RS,55-60,F,387394
South,RS,60-65,F,343373
South,RS,65-70,F,283873
South,RS,70-75,F,217814
South,RS,75-80,F,151553
South,RS,80-85,F,104225
South,RS,85-90,F,62028
South,RS,90+,F,44979
Central-West,MS,0-5,M,112116
Central-West,MS,5-10,M,110588
Central-West,MS,10-15,M,104130
Central-West,MS,15-20,M,106143
Central-West,MS,20-25,M,114007
Central-West,MS,25-30,M,115278
Central-West,MS,30-35,M,112651
Central-West,MS,35-40,M,109032
Central-West,MS,40-45,M,99380
Central-West,MS,45-50,M,88540
Central-West,MS,50-55,M,80335
Central-West,MS,55-60,M,71028
Central-West,MS,60-65,M,56409
