region,age,population,https://www.citypopulation.de/en/italy/,,
Basilicata,40-49 years,79001,,,
Basilicata,50-59 years,88373,,,
Basilicata,60-69 years,73245,,,
Basilicata,70-79 years,52079,,,
Basilicata,80-89 years,36304,,,
Basilicata,90+ years,7866,,,
Clabria,0-9 years,160954,,,
Clabria,10-19 years,187704,,,
Clabria,20-29 years,217654,,,
Clabria,30-39 years,241133,,,
Clabria,40-49 years,271046,,,
Clabria,50-59 years,291288,,,
Clabria,60-69 years,244752,,,
Clabria,70-79 years,177683,,,
Clabria,80-89 years,109172,,,
Clabria,90+ years,23315,,,
Sicilia,0-9 years,429254,,,
Sicilia,10-19 years,509659,,,
Sicilia,20-29 years,570220,,,
Sicilia,30-39 years,602217,,,
Sicilia,40-49 years,712327,,,
Sicilia,50-59 years,746649,,,
Sicilia,60-69 years,612091,,,
Sicilia,70-79 years,464913,,,
Sicilia,80-89 years,267528,,,
Sicilia,90+ years,53552,,,
Sardegna,0-9 years,111798,,,
Sardegna,10-19 years,137231,,,
Sardegna,20-29 years,154272,,,
Sardegna,30-39 years,188031,,,
Sardegna,40-49 years,254154,,,
Sardegna,50-59 years,269147,,,
Sardegna,60-69 years,226056,,,
Sardegna,70-79 years,172542,,,
Sardegna,80-89 years,95987,,,
Sardegna,90+ years,21256,,,
