country	study_id	age_low	age_high	region	gender	population	date	age_breakdown	gender_breakdown	for_regional_analysis	reference
Spain	ESP1	25	26	Asturias	male	3972	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	26	27	Asturias	male	4127	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	27	28	Asturias	male	4223	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	28	29	Asturias	male	4245	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	29	30	Asturias	male	4295	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	30	31	Asturias	male	4541	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	31	32	Asturias	male	4813	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	32	33	Asturias	male	5099	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	33	34	Asturias	male	5445	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	34	35	Asturias	male	5609	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	35	36	Asturias	male	5903	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	36	37	Asturias	male	6232	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	37	38	Asturias	male	6533	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	38	39	Asturias	male	6998	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	39	40	Asturias	male	7410	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	40	41	Asturias	male	7842	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	41	42	Asturias	male	8264	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	42	43	Asturias	male	8639	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	43	44	Asturias	male	8782	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	44	45	Asturias	male	8646	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	45	46	Asturias	male	8430	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	46	47	Asturias	male	8322	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	47	48	Asturias	male	8329	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	48	49	Asturias	male	8156	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	49	50	Asturias	male	8033	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	50	51	Asturias	male	7972	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	51	52	Asturias	male	8027	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	52	53	Asturias	male	8025	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	53	54	Asturias	male	7862	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	54	55	Asturias	male	7989	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	55	56	Asturias	male	7990	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	56	57	Asturias	male	7913	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	57	58	Asturias	male	7910	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	58	59	Asturias	male	7945	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	59	60	Asturias	male	8005	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	60	61	Asturias	male	7865	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	61	62	Asturias	male	7838	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	62	63	Asturias	male	7692	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	63	64	Asturias	male	7281	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	64	65	Asturias	male	7000	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	65	66	Asturias	male	6879	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	66	67	Asturias	male	6789	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	67	68	Asturias	male	6503	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	68	69	Asturias	male	6263	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	69	70	Asturias	male	6191	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	70	71	Asturias	male	6225	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	71	72	Asturias	male	5940	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	72	73	Asturias	male	5550	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	73	74	Asturias	male	5466	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	74	75	Asturias	male	5149	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	75	76	Asturias	male	4730	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	76	77	Asturias	male	4142	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	77	78	Asturias	male	3607	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	78	79	Asturias	male	3525	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	79	80	Asturias	male	3083	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	80	81	Asturias	male	2713	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	81	82	Asturias	male	2869	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	82	83	Asturias	male	3081	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	83	84	Asturias	male	3138	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	84	85	Asturias	male	2994	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	85	86	Asturias	male	2789	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	86	87	Asturias	male	2529	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	87	88	Asturias	male	2211	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	88	89	Asturias	male	1880	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	89	90	Asturias	male	1551	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	90	91	Asturias	male	1229	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	91	92	Asturias	male	976	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	92	93	Asturias	male	739	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	93	94	Asturias	male	573	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	94	95	Asturias	male	422	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	95	96	Asturias	male	303	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	96	97	Asturias	male	204	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	97	98	Asturias	male	137	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	98	99	Asturias	male	90	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	99	100	Asturias	male	55	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	100	999	Asturias	male	61	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	0	1	Baleares	male	4935	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	1	2	Baleares	male	5445	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	2	3	Baleares	male	5616	Jul-19	1	1	1	https://www.ine.es/
