location	ageband	sero_midday	obs_input_seropev	seroprev_reg	seroprev_serorev	crude_IFRs	regIFR	serorevIFR
USA, Los Angeles	18-40	2020-04-12	0.04	3.93 (3.42, 4.61)	3.88 (3.42, 4.33)	0.01 (0, 0.01)	0.01 (0.01, 0.01)	0.01 (0, 0.01)
USA, Los Angeles	40-65	2020-04-12	0.04	3.92 (3.42, 4.55)	3.88 (3.37, 4.29)	0.04 (0.03, 0.07)	0.06 (0.05, 0.09)	0.05 (0.04, 0.06)
USA, Los Angeles	65-999	2020-04-12	0.04	3.87 (3.33, 4.38)	3.86 (3.4, 4.3)	0.36 (0.27, 0.53)	0.52 (0.4, 0.69)	0.4 (0.34, 0.52)
USA, New York State	0-9	2020-04-23	0.12	12.29 (11.88, 12.66)	12.3 (11.96, 12.67)	0 (0, 0)	0 (0, 0)	0 (0, 0)
USA, New York State	9-19	2020-04-23	0.12	12.28 (11.84, 12.7)	12.3 (11.92, 12.62)	0 (0, 0)	0 (0, 0)	0 (0, 0)
USA, New York State	19-29	2020-04-23	0.12	12.28 (11.91, 12.76)	12.33 (11.91, 12.8)	0.02 (0.02, 0.02)	0.02 (0.02, 0.02)	0.01 (0.01, 0.02)
USA, New York State	29-39	2020-04-23	0.12	12.3 (11.9, 12.72)	12.26 (11.95, 12.68)	0.07 (0.07, 0.07)	0.07 (0.06, 0.08)	0.05 (0.04, 0.06)
USA, New York State	39-49	2020-04-23	0.12	12.27 (11.87, 12.69)	12.29 (11.83, 12.73)	0.2 (0.19, 0.22)	0.21 (0.19, 0.24)	0.15 (0.13, 0.16)
USA, New York State	49-59	2020-04-23	0.12	12.28 (11.95, 12.81)	12.24 (11.88, 12.64)	0.51 (0.48, 0.54)	0.53 (0.49, 0.58)	0.37 (0.34, 0.4)
USA, New York State	59-69	2020-04-23	0.11	11.23 (10.66, 11.7)	11.3 (10.92, 11.76)	1.4 (1.3, 1.5)	1.42 (1.3, 1.57)	0.98 (0.89, 1.09)
USA, New York State	69-79	2020-04-23	0.11	11.18 (10.8, 11.74)	11.26 (10.82, 11.62)	3.05 (2.85, 3.28)	3.16 (2.88, 3.49)	2.19 (1.99, 2.41)
USA, New York State	79-999	2020-04-23	0.11	11.2 (10.74, 11.68)	11.19 (10.72, 11.65)	7.2 (6.75, 7.71)	7.77 (7.09, 8.57)	5.38 (4.9, 5.94)
